id_str,group,topic_tweet_count,topic_orig_tweet_count,statuses_count,favourites_count,classifier_score,followers_count,friends_count,friend_follow_ratio,days_since_create,condition,block
93666068,22,2,0,27378,41783,0.266,1665,4999,3.00120048019208,4543,t,22_60
590378522,22,3,0,21095,115262,0.376,1662,4151,2.49669272399278,3636,c,22_87
2374635210,22,2,0,53943,58312,0.254,1661,3366,2.02587244283995,2987,t,22_82
727069705043861504,22,3,0,174198.3,176539.75,0.722,1659,4893,2.94819277108434,2199,c,22_103
3915782308,22,4,1,31030,56390,0.232,1643,4999.45,3.04257907542579,2404,c,22_110
388809158,22,5,4,174198.3,117881,0.7347,1640,4367,2.6617915904936,3863,t,22_4
380221848,22,4,0,34549,38894,0.392,1600,4881,3.04934415990006,3879,c,22_60
566223013,22,5,1,42350,29480,0.544,1586,4722,2.9760554505356,3662,c,22_82
1391299076,22,7,0,46671,145988,0.7347,1560,4999.45,3.20435618193466,3297,t,22_72
1386201,22,7,4,30260,12202,0.17,1555,4499,2.89203084832905,4751,c,22_5
898840968,22,3,0,113720,34554,0.292,1512,4999.45,3.30733641771315,3486,c,22_93
1004096727207632896,22,3,0,174198.3,176539.75,0.366,1511,4319,2.85714285714286,1434,t,22_53
4710865237,22,3,0,102850,176539.75,0.7347,1509,3914,2.59271523178808,2317,t,22_103
980583553,22,8,0,163501,695,0.524,1497,3139,2.09612817089453,3447,c,22_0
2725926822,22,2,1,89081,62470,0.502,1461,4984,3.40971272229822,2827,c,22_93
1857320455,22,4,0,174198.3,176539.75,0.416,1439,4998,3.47152777777778,3161,c,22_53
1110694681917059072,22,3,0,174198.3,170627,0.492,1435,4056,2.82520891364903,1140,c,22_44
2231196824,22,2,1,8266,7010,0.074,1417,3983,2.80959097320169,3078,c,22_110
1020978805,22,4,0,158812,28004,0.142,1414,4999.45,3.53498233215548,3429,t,22_2
439439615,22,6,0,88934,15330,0.634,1390,4778,3.43565780014378,3796,t,22_0
613796686,22,6,0,22585,36691,0.18,1386,4997,3.60346070656092,3610,c,22_6
2685392826,22,3,0,128896,17872,0.294,1381,3242,2.3465991316932,2843,c,22_2
1010870738197377025,22,4,0,12593,176539.75,0.7347,1345,4867,3.61664190193165,1415,t,22_72
63162490,22,2,0,43762,133383,0.46,1338,3435,2.56609410007468,4660,c,22_10
572391626,22,3,0,174198.3,176539.75,0.7347,1304,3043,2.33256704980843,3656,t,22_4
4673450730,22,2,0,119786,65324,0.362,1298,4988,3.84064665127021,2323,t,22_93
1048965996457971713,22,2,0,34018,34966,0.326,1265,3673,2.90205371248025,1310,c,22_82
4896259756,22,2,0,76218,91654,0.31,1262,3221,2.55106888361045,2280,c,22_87
54590241,22,2,0,13209,30307,0.254,1260,4999.45,3.96669310071372,4689,c,22_60
486529377,22,3,0,15147,130177,0.7347,1258,4983,3.95869737887212,3743,c,22_72
126899523,22,2,0,12104,5510,0.114,1257,4902,3.89745627980922,4426,t,22_60
50383631,22,4,0,131891,21205,0.662,1243,4999.45,4.02009646302251,4702,c,22_89
22319762,22,2,0,174198.3,233,0.184,1226,4989,4.06682966585167,4751,c,22_1
73517232,22,3,0,61968,121759,0.648,1207,3240,2.68294701986755,4623,t,22_87
520460366,22,2,0,74989,103108,0.4,1205,3052,2.53150912106136,3712,c,22_87
1022188086283960320,22,3,3,6692,1508,0.352,1192,4999.45,4.19195305951383,1384,c,22_7
833400496220143617,22,2,1,8003,14684,0.426,1152,2566,2.22636600173461,1905,c,22_81
2228383754,22,3,0,174198.3,39688,0.7347,1140,3743,3.28133216476775,3079,t,22_1
3215777512,22,3,0,94306,168910,0.43,1139,2843,2.49473684210526,2569,c,22_103
1146023449,22,3,0,82676,99503,0.39,1123,4999.45,4.45195729537367,3382,t,22_65
3843891567,22,3,0,62941,123592,0.366,1099,4970,4.51909090909091,2411,t,22_65
1001695700,22,5,1,174198.3,9469,0.35,1076,2201,2.04456824512535,3437,t,22_15
821552450511343616,22,2,0,174198.3,176539.75,0.542,1073,3114,2.90037243947858,1938,c,22_44
962753878725988352,22,8,0,4774,5656,0.336,1066,3661,3.43205248359888,1548,c,22_57
2251781390,22,2,0,46176,16036,0.36,1052,2483,2.35897435897436,3064,t,22_82
1642794362,22,2,2,697,557,0.246,1030,2736,2.65470417070805,3201,t,22_110
2615506884,22,4,2,3846,72431,0.676,1026,4999.45,4.87536514118793,2860,c,22_7
3202863347,22,2,1,6565,14342,0.042,1023,4999.45,4.892578125,2572,t,22_9
189164946,22,4,2,65109,176539.75,0.54,1022,4993,4.88172043010753,4259,t,22_8
959071417726742528,22,3,0,2865,1558,0.072,1022,3015,2.94819159335288,1558,c,22_16
2729289533,22,2,0,165629,3073,0.29,1002,2365,2.35892323030907,2840,t,22_1
95361711,22,2,0,125645,176539.75,0.412,995,4999.45,5.02208835341365,4536,t,22_121
141919150,22,4,3,25575,2646,0.382,989,4999.45,5.05252525252525,4383,c,22_89
2354748390,22,3,2,11631,8668,0.16,987,2008,2.0334008097166,2999,c,22_110
43028030,22,2,0,174198.3,176539.75,0.444,986,4456,4.51570415400203,4730,c,22_121
258041710,22,2,0,50710,117916,0.542,979,4818,4.91734693877551,4090,c,22_8
2751351638,22,3,0,14328,56668,0.342,973,4170,4.282340862423,2819,t,22_65
4805474447,22,2,0,40613,42205,0.236,961,4999.45,5.1995841995842,2307,c,22_9
356163040,22,3,0,58367,28953,0.692,956,3125,3.26645768025078,3919,t,22_14
905678856690036738,22,4,0,5133,9148,0.14,952,4968,5.21406086044071,1706,c,22_9
867160750711812097,22,7,1,26062,44276,0.346,941,2161,2.29511677282378,1812,t,22_57
17774181,22,3,0,174198.3,81890,0.458,939,4994,5.31382978723404,4751,t,22_17
2934104665,22,2,2,29272,30942,0.178,937,4075,4.3454157782516,2700,t,22_7
128076167,22,2,1,11800,100704,0.588,934,2665,2.85133689839572,4423,t,22_10
59108543,22,3,2,69747,38887,0.3,917,4999.45,5.45098039215686,4674,c,22_89
251739514,22,2,0,35117,61339,0.32,906,2843,3.13561190738699,4103,t,22_87
1488793392,22,3,0,25966,4908,0.152,900,4998,5.54827968923418,3259,t,22_9
15684851,22,2,0,29680,81367,0.454,879,4270,4.85340909090909,4751,c,22_60
931853732530343937,22,2,0,36490,56730,0.65,875,4983,5.68949771689498,1633,t,22_104
730247476960239616,22,8,3,13756,31944,0.7347,870,2151,2.4707233065442,2190,t,22_28
22313958,22,2,1,78206,47225,0.442,867,4674,5.38594470046083,4751,t,22_89
1766665758,22,8,1,99115,129990,0.468,862,4475,5.18655851680185,3166,t,22_58
2324322164,22,2,0,65019,55934,0.504,860,4214,4.89547038327526,3018,c,22_104
1527381332,22,3,1,60437,38997,0.248,856,1780,2.0781796966161,3247,t,22_82
971857794826567680,22,3,0,126988,176539.75,0.374,853,2236,2.61943793911007,1523,c,22_19
248202917,22,8,4,174198.3,12272,0.34,852,4999.45,5.86400937866354,4110,c,22_105
884730015220367360,22,3,0,174198.3,16578,0.142,847,3800,4.48231132075472,1763,c,22_17
2415835273,22,2,0,61580,17067,0.162,846,2437,2.87839433293979,2964,c,22_82
1472948222,22,2,0,47304,176539.75,0.448,846,2319,2.73907910271547,3265,t,22_10
905715090757787649,22,3,0,107064,132517,0.7347,840,4999.45,5.9500594530321,1706,t,22_104
355740000,22,2,0,21254,176539.75,0.652,832,1950,2.3421368547419,3920,t,22_10
1657053235,22,2,0,18731,31766,0.312,829,3616,4.3578313253012,3196,t,22_60
800365993067298817,22,3,0,79610,144726,0.296,824,3151,3.82060606060606,1996,c,22_68
1381521512,22,3,0,153874,2458,0.088,823,2062,2.50364077669903,3301,c,22_64
348211765,22,3,3,39493,7942,0.048,819,2680,3.26951219512195,3932,c,22_85
443609550,22,2,0,121930,100806,0.6,819,2229,2.71951219512195,3791,t,22_117
386524555,22,3,0,37388,36646,0.254,818,1696,2.07203907203907,3867,c,22_82
401610317,22,2,0,43445,39036,0.438,816,2934,3.59241126070991,3844,c,22_107
2627787878,22,7,0,33155,70735,0.516,815,2478,3.03799019607843,2858,c,22_94
818580624826998784,22,2,2,16102,10638,0.13,815,2100,2.57475490196078,1946,c,22_110
86830729,22,2,0,31619,101501,0.36,810,4875,6.01233045622688,4572,t,22_65
17962401,22,2,1,34087,1617,0.09,810,2388,2.94574599260173,4751,c,22_56
4761542600,22,3,0,19659,61205,0.628,806,3834,4.75216852540273,2307,t,22_104
826900352599457797,22,2,0,40707,27697,0.254,802,4883,6.08219178082192,1923,c,22_9
270106103,22,4,0,162509,7,0.242,799,2729,3.4125,4067,t,22_64
633823236,22,2,2,49243,52149,0.506,782,3047,3.89272030651341,3588,t,22_61
84196561,22,4,1,44988,12431,0.206,781,2574,3.29283887468031,4583,c,22_107
620306177,22,4,2,34115,11075,0.154,778,4999.45,6.42105263157895,3603,c,22_65
184703584,22,3,0,58437,7801,0.584,775,1964,2.53221649484536,4271,c,22_109
2959698191,22,3,0,10048,20583,0.096,765,3044,3.97519582245431,2683,t,22_6
3362905288,22,2,0,94974,34538,0.284,754,1576,2.0887417218543,2499,c,22_62
796146651068964864,22,2,0,131094,131495,0.496,751,4993,6.64095744680851,2008,c,22_65
913695099879538688,22,2,1,17239,75610,0.618,750,4237,5.64314247669774,1684,t,22_7
2921048664,22,4,0,170164,106614,0.382,749,3621,4.82933333333333,2711,c,22_96
68332473,22,7,2,23729,20349,0.476,748,2728,3.64352469959947,4642,t,22_11
108958758,22,3,0,174198.3,150331,0.594,741,4991,6.7277628032345,4485,c,22_121
294842997,22,4,0,13921,8220,0.092,733,3665,4.99455040871935,4020,c,22_6
1875653292,22,2,0,88272,69816,0.556,726,3907,5.37551581843191,3156,t,22_89
1098317762626088961,22,4,1,133165,5398,0.226,716,1613,2.2510460251046,1174,c,22_2
